UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
114716, 3,"R",13966,"R",3806,"R",2878,"R",7282,"R",3570,"R",0,"R",170,"R",66,"R",0
114716,11,"R",1403,"R",356,"R",118,"R",929,"R",338,"R",0,"R",11,"R",7,"R",0
114734, 1,"R",40,"A",,"A",,"R",40,"A",,"A",,"A",,"A",,"A",
114734,12,"R",40,"A",,"A",,"R",40,"A",,"A",,"A",,"A",,"A",
114761, 1,"R",61,"A",,"A",,"R",61,"A",,"A",,"A",,"A",,"A",
114761, 2,"R",61,"A",,"A",,"R",61,"A",,"A",,"A",,"A",,"A",
114789, 1,"R",22925,"R",1408,"R",2066,"R",19451,"R",1382,"R",0,"R",21,"R",5,"R",0
114789, 2,"R",22925,"R",1408,"R",2066,"R",19451,"R",1382,"R",0,"R",21,"R",5,"R",0
114789, 3,"R",19510,"R",1133,"R",1902,"R",16475,"R",1115,"R",0,"R",16,"R",2,"R",0
114789,11,"R",3415,"R",275,"R",164,"R",2976,"R",267,"R",0,"R",5,"R",3,"R",0
114813, 1,"R",3564,"R",369,"R",1029,"R",2166,"R",327,"R",40,"R",0,"R",2,"R",0
114813, 2,"R",2431,"R",173,"R",733,"R",1525,"R",171,"R",2,"R",0,"R",0,"R",0
114813, 3,"R",2421,"R",172,"R",731,"R",1518,"R",170,"R",2,"R",0,"R",0,"R",0
114813,11,"R",10,"R",1,"R",2,"R",7,"R",1,"R",0,"R",0,"R",0,"R",0
114813,12,"R",1133,"R",196,"R",296,"R",641,"R",156,"R",38,"R",0,"R",2,"R",0
114840, 1,"R",2435,"R",787,"R",386,"R",1262,"R",243,"R",435,"R",0,"R",109,"R",0
114840,12,"R",2435,"R",787,"R",386,"R",1262,"R",243,"R",435,"R",0,"R",109,"R",0
114859, 1,"R",24073,"R",1536,"R",3091,"R",19446,"R",1533,"R",2,"R",1,"R",0,"R",0
114859, 2,"R",24073,"R",1536,"R",3091,"R",19446,"R",1533,"R",2,"R",1,"R",0,"R",0
114859, 3,"R",22033,"R",1305,"R",2976,"R",17752,"R",1302,"R",2,"R",1,"R",0,"R",0
114859,11,"R",2040,"R",231,"R",115,"R",1694,"R",231,"R",0,"R",0,"R",0,"R",0
114938, 1,"R",5847,"R",280,"R",1248,"R",4319,"R",280,"R",0,"R",0,"R",0,"R",0
114938, 2,"R",5847,"R",280,"R",1248,"R",4319,"R",280,"R",0,"R",0,"R",0,"R",0
114938, 3,"R",4882,"R",246,"R",1146,"R",3490,"R",246,"R",0,"R",0,"R",0,"R",0
114938,11,"R",965,"R",34,"R",102,"R",829,"R",34,"R",0,"R",0,"R",0,"R",0
114947, 1,"R",302,"A",,"A",,"R",302,"A",,"A",,"A",,"A",,"A",
114947, 2,"R",302,"A",,"A",,"R",302,"A",,"A",,"A",,"A",,"A",
115001, 1,"R",15178,"R",532,"R",2363,"R",12283,"R",527,"R",0,"R",4,"R",1,"R",0
115001, 2,"R",15178,"R",532,"R",2363,"R",12283,"R",527,"R",0,"R",4,"R",1,"R",0
115001, 3,"R",13770,"R",466,"R",2291,"R",11013,"R",462,"R",0,"R",3,"R",1,"R",0
115001,11,"R",1408,"R",66,"R",72,"R",1270,"R",65,"R",0,"R",1,"R",0,"R",0
115010, 1,"R",265,"R",0,"R",0,"R",265,"A",,"A",,"A",,"A",,"A",
115010, 2,"R",265,"R",0,"R",0,"R",265,"A",,"A",,"A",,"A",,"A",
115010, 3,"R",265,"R",0,"R",0,"R",265,"A",,"A",,"A",,"A",,"A",
115083, 1,"R",2656,"R",868,"R",689,"R",1099,"R",606,"R",202,"Z",0,"R",60,"R",0
115083, 2,"R",445,"R",228,"R",198,"R",19,"R",208,"R",17,"Z",0,"R",3,"R",0
115083, 3,"R",444,"R",227,"R",198,"R",19,"R",207,"R",17,"Z",0,"R",3,"R",0
115083,11,"R",1,"R",1,"R",0,"R",0,"R",1,"Z",0,"Z",0,"Z",0,"R",0
115083,12,"R",2211,"R",640,"R",491,"R",1080,"R",398,"R",185,"Z",0,"R",57,"R",0
115126, 1,"R",11857,"R",1390,"R",2542,"R",7925,"R",1370,"R",4,"R",0,"R",16,"R",0
115126, 2,"R",11857,"R",1390,"R",2542,"R",7925,"R",1370,"R",4,"R",0,"R",16,"R",0
115126, 3,"R",10987,"R",1246,"R",2505,"R",7236,"R",1226,"R",4,"R",0,"R",16,"R",0
115126,11,"R",870,"R",144,"R",37,"R",689,"R",144,"R",0,"R",0,"R",0,"R",0
115214, 1,"R",187,"R",2,"R",6,"R",179,"R",2,"Z",0,"Z",0,"Z",0,"R",0
115214,12,"R",187,"R",2,"R",6,"R",179,"R",2,"Z",0,"Z",0,"Z",0,"R",0
115296, 1,"R",18498,"R",2070,"R",3339,"R",13089,"R",2031,"R",0,"R",23,"R",16,"R",0
115296, 2,"R",18498,"R",2070,"R",3339,"R",13089,"R",2031,"R",0,"R",23,"R",16,"R",0
115296, 3,"R",16630,"R",1805,"R",3236,"R",11589,"R",1771,"R",0,"R",19,"R",15,"R",0
115296,11,"R",1868,"R",265,"R",103,"R",1500,"R",260,"R",0,"R",4,"R",1,"R",0
115357, 1,"R",63,"A",,"A",,"R",63,"A",,"A",,"A",,"A",,"A",
115357, 2,"R",63,"A",,"A",,"R",63,"A",,"A",,"A",,"A",,"A",
115393, 1,"R",12328,"R",376,"R",1163,"R",10789,"R",373,"R",0,"R",1,"R",2,"R",0
115393, 2,"R",12328,"R",376,"R",1163,"R",10789,"R",373,"R",0,"R",1,"R",2,"R",0
115393, 3,"R",11473,"R",326,"R",1142,"R",10005,"R",324,"R",0,"R",1,"R",1,"R",0
115393,11,"R",855,"R",50,"R",21,"R",784,"R",49,"R",0,"R",0,"R",1,"R",0
115409, 1,"R",842,"A",,"A",,"R",842,"A",,"A",,"A",,"A",,"A",
115409, 2,"R",842,"A",,"A",,"R",842,"A",,"A",,"A",,"A",,"A",
115409, 3,"R",829,"A",,"A",,"R",829,"A",,"A",,"A",,"A",,"A",
115409,11,"R",13,"A",,"A",,"R",13,"A",,"A",,"A",,"A",,"A",
115658, 1,"R",124,"A",,"A",,"R",124,"A",,"A",,"A",,"A",,"A",
115658, 2,"R",124,"A",,"A",,"R",124,"A",,"A",,"A",,"A",,"A",
115728, 1,"R",866,"R",0,"R",16,"R",850,"A",,"A",,"A",,"A",,"A",
115728, 2,"R",526,"R",0,"Z",0,"R",526,"A",,"A",,"A",,"A",,"A",
115728, 3,"R",515,"R",0,"Z",0,"R",515,"A",,"A",,"A",,"A",,"A",
115728,11,"R",11,"Z",0,"Z",0,"R",11,"A",,"A",,"A",,"A",,"A",
115728,12,"R",340,"Z",0,"R",16,"R",324,"A",,"A",,"A",,"A",,"A",
115746, 1,"R",923,"A",,"A",,"R",923,"A",,"A",,"A",,"A",,"A",
115746,12,"R",923,"A",,"A",,"R",923,"A",,"A",,"A",,"A",,"A",
115755, 1,"R",8503,"R",115,"R",1886,"R",6502,"R",112,"R",3,"Z",0,"R",0,"R",0
115755, 2,"R",7982,"R",89,"R",1751,"R",6142,"R",86,"R",3,"Z",0,"R",0,"R",0
115755, 3,"R",7956,"R",81,"R",1749,"R",6126,"R",78,"R",3,"Z",0,"R",0,"R",0
115755,11,"R",26,"R",8,"R",2,"R",16,"R",8,"R",0,"Z",0,"R",0,"R",0
115755,12,"R",521,"R",26,"R",135,"R",360,"R",26,"R",0,"Z",0,"R",0,"R",0
115773, 1,"R",480,"R",0,"R",132,"R",348,"A",,"A",,"A",,"A",,"A",
115773, 2,"R",392,"R",0,"R",111,"R",281,"A",,"A",,"A",,"A",,"A",
115773, 3,"R",392,"R",0,"R",111,"R",281,"A",,"A",,"A",,"A",,"A",
115773,12,"R",88,"R",0,"R",21,"R",67,"A",,"A",,"A",,"A",,"A",
115861, 1,"R",7824,"R",140,"R",1079,"R",6605,"R",138,"R",0,"R",2,"R",0,"R",0
115861, 2,"R",7824,"R",140,"R",1079,"R",6605,"R",138,"R",0,"R",2,"R",0,"R",0
115861, 3,"R",6873,"R",127,"R",1052,"R",5694,"R",125,"R",0,"R",2,"R",0,"R",0
115861,11,"R",951,"R",13,"R",27,"R",911,"R",13,"R",0,"R",0,"R",0,"R",0
115931, 1,"R",441,"A",,"A",,"R",441,"A",,"A",,"A",,"A",,"A",
115931, 2,"R",441,"A",,"A",,"R",441,"A",,"A",,"A",,"A",,"A",
115931, 3,"R",441,"A",,"A",,"R",441,"A",,"A",,"A",,"A",,"A",
116226, 1,"R",229,"A",,"A",,"R",229,"A",,"A",,"A",,"A",,"A",
116226, 2,"R",229,"A",,"A",,"R",229,"A",,"A",,"A",,"A",,"A",
116226, 3,"R",225,"A",,"A",,"R",225,"A",,"A",,"A",,"A",,"A",
116226,11,"R",4,"A",,"A",,"R",4,"A",,"A",,"A",,"A",,"A",
116350, 1,"R",276,"A",,"A",,"R",276,"A",,"A",,"A",,"A",,"A",
